status,RT
1,0.933
1,0.886
1,1.283
1,0.871
1,1.141
0,1.51
0,1.235
1,1.192
1,0.922
1,0.99
1,1.065
1,0.834
1,1.147
0,1.206
1,1.317
0,1.161
1,1.28
1,1.008
1,1.408
0,1.259
1,1.057
1,1.502
1,1.174
1,0.992
1,1.084
1,0.99
0,1.21
1,1.022
1,0.989
1,0.83
0,1.149
1,1.243
0,1.47
1,1.224
1,1.308
1,1.367
1,0.93
1,1.016
1,0.823
1,0.8
1,0.966
1,1.088
1,1.014
1,0.823
1,0.856
1,1.172
1,1.134
1,0.995
1,1.096
1,0.873
0,1.42
1,1.106
1,1.214
1,0.856
1,1.171
0,1.262
1,0.85
1,1.331
1,1.324
0,1.426
1,0.872
1,1.109
1,1.157
1,1.219
1,1.039
1,0.999
1,1.081
1,1.304
1,1.103
0,1.426
1,1.088
0,1.474
1,1.196
1,1.029
0,1.373
1,1.035
1,1.123
0,1.42
1,0.977
1,1.092
0,1.274
0,0.986
1,1.168
1,1.436
1,1.261
1,1.151
1,1.04
1,1.308
1,0.864
0,1.138
1,0.994
1,1.193
1,1.264
1,1.038
0,1.279
1,0.927
1,1.001
1,0.925
1,0.969
1,1.076
1,1.222
1,1.34
1,0.921
1,1.241
1,1.037
1,1.172
1,1.378
1,1.082
1,1.236
1,1.573
1,0.857
0,1.205
1,0.885
1,1.073
1,1.243
1,1.228
1,1.432
1,1.105
1,0.9
1,1.116
1,0.873
1,1.034
1,0.982
0,1.442
1,0.808
1,1.253
1,0.932
1,0.847
1,0.846
1,1.003
1,1.091
1,1.5
1,1.348
1,1.044
0,1.137
1,1.246
0,1.212
0,1.358
1,1.018
1,1.217
1,1.086
1,1.278
1,1.017
1,0.874
1,1.095
1,1.119
1,0.934
1,1.189
1,0.827
1,0.966
1,1.118
1,1.076
0,1.334
0,1.123
1,0.895
1,1.19
1,0.896
1,0.85
1,1.362
1,1.342
1,0.855
1,1.011
1,1.118
0,1.208
1,1.23
1,1.217
0,1.453
1,1.016
1,0.868
1,0.844
0,1.095
1,0.867
1,1.172
1,1.112
1,1.107
1,1.228
1,1.282
1,1.365
1,1.117
0,1.269
1,1.189
0,2.177
0,1.044
1,1.519
1,0.9
1,0.921
1,0.863
1,1.062
1,0.861
1,0.889
1,0.918
0,1.446
1,0.831
1,0.966
1,0.854
1,0.825
0,1.184
1,1.129
1,1.099
1,0.919
1,0.873
1,0.87
1,1.273
0,1.044
1,0.992
0,1.222
1,1.066
0,1.295
1,0.85
1,1.155
1,1.606
1,1.372
1,1.059
0,1.398
1,1.303
1,1.253
1,0.983
0,1.208
1,0.835
0,1.305
1,0.856
1,1.018
1,1.276
1,1.328
0,1.382
1,1.478
1,1.087
1,0.828
1,0.862
1,1.31
1,0.831
1,0.946
1,1.133
0,1.269
1,1.015
0,1.241
1,1.238
0,1.14
1,0.975
1,0.842
0,1.526
1,1.317
0,1.33
1,0.878
1,1.225
1,1.296
0,1.242
1,0.849
0,1.437
0,1.285
1,1.108
1,1.015
1,0.996
1,1.197
1,1.08
1,1.088
1,1.022
1,1.388
1,1.554
1,0.836
1,1.177
1,0.984
0,1.348
1,0.945
1,0.825
1,1.134
1,1.036
1,0.836
1,1.057
1,0.94
1,0.891
0,1.096
0,1.09
1,1.289
1,1.542
1,0.947
1,0.968
1,1.119
1,1.19
1,0.928
1,1.24
1,0.958
1,1.292
1,0.941
1,1.002
1,0.935
1,0.915
1,0.87
1,1.141
1,1.272
1,0.983
1,0.945
1,0.892
1,0.97
0,1.472
